Sample_ID,Rep,"Average 
% soil moist","Mass (g) oven dry soil 
using for assay","4g Dry Weight 
Equivalant Target","Actual Mass 
Fresh Soil","Actual Dry Weight 
Equivalent",Rack,unique.id,Volume,Notes
DCN_H1,2,22.19,4,5.1407,5.1467,4.0046,1,36_1,7.5,
SCN_H8,2,23.68,4,5.2411,5.2521,4.0084,10,36_10,7.5,
DCH_P5,2,20.84,4,5.0531,5.0596,4.0052,11,36_11,8,
DCS_H5,2,25.65,4,5.38,5.3848,4.0036,12,36_12,7.5,
FNS_H5,2,22.14,4,5.1374,5.1395,4.0016,2,36_2,7.5,
DCS_H4,2,20.15,4,5.0094,5.0098,4.0003,3,36_3,7.5,
FNS_H1,2,25.42,4,5.3634,5.3699,4.0049,4,36_4,7.5,
MCN_H2,2,22.45,4,5.158,5.1788,4.0162,5,36_5,7.5,
FNH_V3,2,23.78,4,5.248,5.2502,4.0017,6,36_6,8,
SCH_V2,2,24.22,4,5.2784,5.2813,4.0022,7,36_7,8,
FNN_H1,2,21.05,4,5.0665,5.0695,4.0024,8,36_8,7.5,
MCN_H7,2,23.44,4,5.2247,5.2286,4.003,9,36_9,7.5,
DCN_H8,1,22.64,4,5.1706,5.1788,4.0063,1,37_1,7.5,
SCN_P5,1,22.8,4,5.1813,5.1887,4.0057,10,37_10,7.5,
FNN_H6,1,21.63,4,5.104,5.1092,4.0041,11,37_11,7.5,
FNS_P2,1,24.5,4,5.298,5.2988,4.0006,12,37_12,7.5,
DCS_H2,1,23.26,4,5.2124,5.2176,4.004,2,37_2,7.5,
DCH_P7,1,23.37,4,5.2199,5.22,4.0001,3,37_3,7.5,
FNN_P7,1,23,4,5.1948,5.1999,4.0039,4,37_4,7.5,
SCH_H8,1,23.26,4,5.2124,5.2202,4.006,5,37_5,7.5,
FNH_V7,1,18.98,4,4.9371,4.9516,4.0118,6,37_6,7.5,
DCS_P1,1,22.27,4,5.146,5.1422,3.997,7,37_7,7.5,
MCS_H3,1,22.8,4,5.1813,5.1825,4.0009,8,37_8,7.5,
SCH_H5,1,22.87,4,5.186,5.1889,4.0022,9,37_9,7.5,
DCN_H8,2,22.64,4,5.1706,5.1741,4.0027,1,38_1,7.5,
SCN_P5,2,22.8,4,5.1813,5.1848,4.0027,10,38_10,7.5,
FNN_H6,2,21.63,4,5.104,5.1086,4.0036,11,38_11,7.5,
FNS_P2,2,24.5,4,5.298,5.2915,3.9951,12,38_12,7.5,
DCS_H2,2,23.26,4,5.2124,5.2227,4.0079,2,38_2,7.5,
DCH_P7,2,23.37,4,5.2199,5.2162,3.9972,3,38_3,7.5,
FNN_P7,2,23,4,5.1948,5.2046,4.0075,4,38_4,7,
SCH_H8,2,23.26,4,5.2124,5.2139,4.0011,5,38_5,7.5,
FNH_V7,2,18.98,4,4.9371,4.9485,4.0093,6,38_6,7.5,
DCS_P1,2,22.27,4,5.146,5.1662,4.0157,7,38_7,7.5,
MCS_H3,2,22.8,4,5.1813,5.1856,4.0033,8,38_8,7.5,
SCH_H5,2,22.87,4,5.186,5.1849,3.9991,9,38_9,7.5,
DCH_H6,1,20.77,4,5.0486,5.0424,3.9951,1,39_1,7.5,
SCS_H6,1,21,4,5.0633,5.0696,4.005,10,39_10,7.5,
MCH_H5,1,27.8,4,5.5402,5.5467,4.0047,11,39_11,7.5,
DCH_H7,1,21.31,4,5.0832,5.0886,4.0042,2,39_2,7.5,
DCH_H5,1,24.92,4,5.3277,5.3401,4.0093,3,39_3,7.5,
SCS_P5,1,24.47,4,5.2959,5.2945,3.9989,4,39_4,7.5,
FNH_P5,1,23.03,4,5.1968,5.1896,3.9944,5,39_5,8,
FNS_P7,1,22.17,4,5.1394,5.1339,3.9957,6,39_6,7.5,
DCH_H3,1,21.52,4,5.0968,5.1002,4.0026,7,39_7,8,
MCS_H4,1,21.59,4,5.1014,5.1053,4.0031,8,39_8,7.5,
SCH_V3,1,23.97,4,5.2611,5.2609,3.9999,9,39_9,7.5,
DCH_H6,2,20.77,4,5.0486,5.0478,3.9994,1,40_1,7.5,
SCS_H6,2,21,4,5.0633,5.0689,4.0044,10,40_10,7,
MCH_H5,2,27.8,4,5.5402,5.5447,4.0033,11,40_11,7.5,
DCH_H7,2,21.31,4,5.0832,5.0932,4.0078,2,40_2,7.5,
DCH_H5,2,24.92,4,5.3277,5.3364,4.0066,3,40_3,7.5,
SCS_P5,2,24.47,4,5.2959,5.3067,4.0082,4,40_4,7.5,
FNH_P5,2,23.03,4,5.1968,5.1999,4.0024,5,40_5,8,
FNS_P7,2,22.17,4,5.1394,5.1572,4.0138,6,40_6,7.5,
DCH_H3,2,21.52,4,5.0968,5.0923,3.9964,7,40_7,7.5,
MCS_H4,2,21.59,4,5.1014,5.1064,4.0039,8,40_8,7.5,
SCH_V3,2,23.97,4,5.2611,5.2616,4.0004,9,40_9,7.5,
DCN_H2,1,24.73,4,5.3142,5.3191,4.0037,1,41_1,7.5,
MCN_H3,1,23.31,4,5.2158,5.2167,4.0007,10,41_10,7.5,
SCS_H4,1,23.42,4,5.2233,5.2308,4.0057,11,41_11,7.5,
MCS_P4,1,20.11,4,5.0069,5.0054,3.9988,12,41_12,7.5,
FNN_H8,1,23.29,4,5.2144,5.218,4.0027,2,41_2,7,
YFH_P6,1,21.09,4,5.0691,5.0727,4.0029,3,41_3,7.5,
DCH_H8,1,25.26,4,5.3519,5.3464,3.9959,4,41_4,7.5,
MCH_P7,1,27.19,4,5.4938,5.4812,3.9909,5,41_5,7.5,
UPS_P8,1,20.3,4,5.0188,5.0128,3.9952,6,41_6,7.5,
MCS_P5,1,24.07,4,5.268,5.2648,3.9976,7,41_7,7.5,
MCS_P7,1,23.97,4,5.2611,5.2681,4.0053,8,41_8,7.5,
SCS_P1,1,22.89,4,5.1874,5.1838,3.9972,9,41_9,7.5,
DCN_H2,2,24.73,4,5.3142,5.3192,4.0038,1,42_1,7.5,
MCN_H3,2,23.31,4,5.2158,5.2128,3.9977,10,42_10,7.5,
SCS_H4,2,23.42,4,5.2233,5.2259,4.002,11,42_11,7.5,
MCS_P4,2,20.11,4,5.0069,5.004,3.9977,12,42_12,7.5,
FNN_H8,2,23.29,4,5.2144,5.2165,4.0016,2,42_2,7.5,
YFH_P6,2,21.09,4,5.0691,5.0568,3.9903,3,42_3,7.5,
DCH_H8,2,25.26,4,5.3519,5.3503,3.9988,4,42_4,8,
MCH_P7,2,27.19,4,5.4938,5.4975,4.0027,5,42_5,7.5,
UPS_P8,2,20.3,4,5.0188,5.0197,4.0007,6,42_6,7.5,
MCS_P5,2,24.07,4,5.268,5.2604,3.9942,7,42_7,8,
MCS_P7,2,23.97,4,5.2611,5.2668,4.0043,8,42_8,7.5,
SCS_P1,2,22.89,4,5.1874,5.183,3.9966,9,42_9,7.5,
DCS_H1,1,19.21,4,4.9513,4.9578,4.0053,1,43_1,7.5,
SCH_H2,1,24.17,4,5.275,5.2838,4.0067,10,43_10,7.5,
SCS_P3,1,21.56,4,5.0994,5.1021,4.0021,11,43_11,7.5,
UPS_H1,1,21.47,4,5.0936,5.0962,4.002,12,43_12,7.5,
FNH_H1,1,21.82,4,5.1164,5.1161,3.9998,2,43_2,7.5,
UPS_H3,1,19.18,4,4.9493,4.9433,3.9952,3,43_3,7.5,
MCH_V4,1,28.8,4,5.618,5.6178,3.9999,4,43_4,8,
YFH_V2,1,20.4,4,5.0251,5.0391,4.0111,5,43_5,7.5,
FNS_H2,1,20.93,4,5.0588,5.0511,3.9939,6,43_6,7.5,
MCH_V8,1,26.79,4,5.4637,5.4604,3.9976,7,43_7,7.5,
SCN_P8,1,23.41,4,5.2226,5.2228,4.0001,8,43_8,7.5,
SCS_P7,1,24.15,4,5.2736,5.2798,4.0047,9,43_9,7.5,
DCS_H1,2,19.21,4,4.9513,4.9561,4.0039,1,44_1,7.5,
SCH_H2,2,24.17,4,5.275,5.2689,3.9954,10,44_10,7.5,
SCS_P3,2,21.56,4,5.0994,5.0915,3.9938,11,44_11,7.5,
UPS_H1,2,21.47,4,5.0936,5.0922,3.9989,12,44_12,7.5,
FNH_H1,2,21.82,4,5.1164,5.114,3.9981,2,44_2,7.5,
UPS_H3,2,19.18,4,4.9493,4.9423,3.9944,3,44_3,7.5,
MCH_V4,2,28.8,4,5.618,5.6217,4.0027,4,44_4,8.5,
YFH_V2,2,20.4,4,5.0251,5.0223,3.9978,5,44_5,7.5,
FNS_H2,2,20.93,4,5.0588,5.0754,4.0131,6,44_6,7.5,
MCH_V8,2,26.79,4,5.4637,5.4868,4.0169,7,44_7,7.5,
SCN_P8,2,23.41,4,5.2226,5.2249,4.0018,8,44_8,7.5,
SCS_P7,2,24.15,4,5.2736,5.2793,4.0043,9,44_9,7.5,
DCS_P2,1,21.14,4,5.0723,5.0792,4.0055,1,45_1,7.5,
MCH_H4,1,26.51,4,5.4429,5.459,4.0118,10,45_10,7.5,
UPH_P4,1,22.43,4,5.1566,5.1586,4.0015,11,45_11,7.5,
UPS_H2,1,21.37,4,5.0871,5.0843,3.9978,12,45_12,7.5,
FNH_H6,1,21.54,4,7.6472,7.6452,5.9984,2,45_2,9,
UPS_H8,1,23.73,4,5.2445,5.2424,3.9984,3,45_3,7.5,
MCH_H8,1,22.19,4,5.1407,5.1601,4.0151,4,45_4,12,"two doses, removed"
UPS_P4,1,21.28,4,5.0813,5.0922,4.0086,5,45_5,7.5,
FNN_H3,1,21.66,4,5.1059,5.0996,3.995,6,45_6,7.5,
YFH_H5,1,18.8,4,4.9261,4.9236,3.998,7,45_7,7,
UPH_H1,1,21.79,4,5.1144,5.1101,3.9966,8,45_8,7.5,
YFH_H1,1,20.99,4,5.0627,5.0687,4.0048,9,45_9,7.5,
DCS_P2,2,21.14,4,5.0723,5.0736,4.001,1,46_1,7.5,
MCH_H4,2,26.51,4,5.4429,5.4572,4.0105,10,46_10,7.5,
UPH_P4,2,22.43,4,5.1566,5.1511,3.9957,11,46_11,7.5,
UPS_H2,2,21.37,4,5.0871,5.0846,3.998,12,46_12,7.5,
FNH_H6,2,21.54,4,7.6472,7.6462,5.9992,2,46_2,8.5,
UPS_H8,2,23.73,4,5.2445,5.2537,4.007,3,46_3,7.5,
MCH_H8,2,22.19,4,5.1407,5.1495,4.0068,4,46_4,7.5,
UPS_P4,2,21.28,4,5.0813,5.0888,4.0059,5,46_5,7.5,
FNN_H3,2,21.66,4,5.1059,5.1149,4.007,6,46_6,7.5,
YFH_H5,2,18.8,4,4.9261,4.9224,3.997,7,46_7,7.5,
UPH_H1,2,21.79,4,5.1144,5.1193,4.0038,8,46_8,7.5,
YFH_H1,2,20.99,4,5.0627,5.0627,4,9,46_9,7.5,
DCH_V8,1,20.87,4,5.055,5.0595,4.0036,1,47_1,7.5,
DCN_P3,1,22.3,4,5.148,5.1602,4.0095,10,47_10,7.5,
YFH_P5,1,22.64,4,5.1706,5.1823,4.009,11,47_11,7.5,
YFH_H7,1,23.72,4,5.2438,5.2408,3.9977,12,47_12,7.5,
FNH_H2,1,19.03,4,4.9401,4.9471,4.0057,2,47_2,7.5,
UPS_P6,1,20.92,4,5.0582,5.0583,4.0001,3,47_3,7.5,
UPH_H2,1,22.62,4,5.1693,5.1664,3.9978,4,47_4,7.5,
SCN_P6,1,22.22,4,5.1427,5.1508,4.0063,5,47_5,7,
SCN_H1,1,26.22,4,5.4215,5.4298,4.0061,6,47_6,8,
DCH_H2,1,20.89,4,5.0563,5.0584,4.0017,7,47_7,8,
UPH_H6,1,21.41,4,5.0897,5.0801,3.9925,8,47_8,7.5,
YFN_H8,1,21.88,4,5.1203,5.1239,4.0028,9,47_9,7.5,
DCH_V8,2,20.87,4,5.055,5.0599,4.0039,1,48_1,7.5,
DCN_P3,2,22.3,4,5.148,5.1442,3.997,10,48_10,7.5,
YFH_P5,2,22.64,4,5.1706,5.1829,4.0095,11,48_11,7.5,
YFH_H7,2,23.72,4,5.2438,5.2438,4,12,48_12,7.5,
FNH_H2,2,19.03,4,4.9401,4.9502,4.0082,2,48_2,7.5,
UPS_P6,2,20.92,4,5.0582,5.0648,4.0052,3,48_3,7.5,
UPH_H2,2,22.62,4,5.1693,5.1595,3.9924,4,48_4,7.5,
SCN_P6,2,22.22,4,5.1427,5.1522,4.0074,5,48_5,7,
SCN_H1,2,26.22,4,5.4215,5.4216,4.0001,6,48_6,7.5,
DCH_H2,2,20.89,4,5.0563,5.0461,3.992,7,48_7,7.5,
UPH_H6,2,21.41,4,5.0897,5.0871,3.998,8,48_8,7.5,
YFN_H8,2,21.88,4,5.1203,5.1225,4.0017,9,48_9,7.5,
