Chamber,Run,Manual_Resp_Calc,Incubation_Temp,Logger_Pro_Calcd,Temp_Catagorical,Entry_Order,Generation,Population,Predation,Cage,Tin.Empty,Tin.Full,Mass,Run,Chamber,Notes,Exclude,Individual,Saturated_at_30
6,6,2.709334641,25.12989642,2.609208753,25C,40,F2,FN,Predator,4,1.7357,2.0333,0.2976,6,6,NA,1,40,1
6,7,1.360038476,25.23955302,1.322527371,25C,46,F2,FN,Predator,4,1.6738,1.9428,0.269,7,6,NA,0,47,NA
2,6,1.552646669,30.44694301,1.542852464,30C,36,F2,FN,Predator,4,1.7968,2.0202,0.2234,6,2,NA,0,36,NA
6,6,4.223991288,30.17339954,4.378820531,30C,40,F2,FN,Predator,4,1.7357,2.0333,0.2976,6,6,NA,1,40,1
6,7,1.842555027,30.06021694,1.82600404,30C,46,F2,FN,Predator,4,1.6738,1.9428,0.269,7,6,NA,0,47,NA
2,1,3.271031405,26.06337078,3.112941247,25C,1,F1,FN,Predator,8,1.7987,2.097,0.2983,1,2,NA,1,1,1
7,1,1.801143824,25.98880326,1.799285879,25C,6,F1,SC,Predator,2,1.7626,2.0009,0.2383,1,7,NA,0,6,NA
6,2,1.81470195,25.13146548,1.855052795,25C,12,F1,SC,Predator,2,1.6098,1.8832,0.2734,2,6,NA,0,12,NA
3,4,2.279912167,25.16819389,2.264877905,25C,23,F1,SC,Predator,2,1.7225,2.1224,0.3999,4,3,NA,0,23,NA
8,4,1.664611335,25.10046086,1.642735161,25C,27,F1,SC,Predator,2,1.6617,2.0287,0.367,4,8,NA,0,28,NA
2,9,1.170563511,24.80308053,1.163526135,25C,57,F1,SC,Predator,6,1.7753,2.0905,0.3152,9,2,NA,0,57,NA
7,1,1.901800886,30.61917333,1.880852977,30C,6,F1,SC,Predator,2,1.7626,2.0009,0.2383,1,7,NA,0,6,NA
6,2,2.295052093,30.46699255,2.299162767,30C,12,F1,SC,Predator,2,1.6098,1.8832,0.2734,2,6,NA,0,12,NA
3,4,2.736163377,30.85728654,2.782662597,30C,23,F1,SC,Predator,2,1.7225,2.1224,0.3999,4,3,NA,0,23,NA
8,4,2.878995657,30.56775259,2.915925175,30C,27,F1,SC,Predator,2,1.6617,2.0287,0.367,4,8,NA,0,28,NA
2,9,1.785421835,30.25541069,1.768102664,30C,57,F1,SC,Predator,6,1.7753,2.0905,0.3152,9,2,NA,0,57,NA
5,2,0.776547455,25.11607552,0.775384585,25C,11,F2,SC,Predator,3,1.7384,1.8319,0.0935,2,5,NA,0,11,NA
6,3,1.009585994,24.91132195,1.023867236,25C,19,F2,SC,Predator,3,1.708,1.8173,0.1093,3,6,NA,0,19,NA
3,7,1.676309642,25.21946365,1.623394339,25C,43,F2,SC,Predator,3,1.7528,1.9903,0.2375,7,3,NA,0,44,NA
8,8,1.505095015,24.93709598,1.457671407,25C,56,F2,SC,Predator,7,1.7441,2.1182,0.3741,8,8,NA,0,56,NA
5,2,0.965630693,30.56716209,0.96645088,30C,11,F2,SC,Predator,3,1.7384,1.8319,0.0935,2,5,NA,0,11,NA
6,3,1.235347002,30.23844135,1.228526144,30C,19,F2,SC,Predator,3,1.708,1.8173,0.1093,3,6,NA,0,19,NA
3,7,1.784190745,30.19499394,1.652684776,30C,43,F2,SC,Predator,3,1.7528,1.9903,0.2375,7,3,NA,0,44,NA
8,8,1.819925272,29.26838104,1.794677242,30C,56,F2,SC,Predator,7,1.7441,2.1182,0.3741,8,8,NA,0,56,NA
6,1,1.779029245,26.00421277,1.738507896,25C,5,F1,UP,Predator,5,1.7064,2.1439,0.4375,1,6,NA,0,5,NA
5,3,2.512543815,24.92042473,2.504115979,25C,18,F1,UP,Predator,6,1.6715,1.978,0.3065,3,5,NA,0,18,NA
4,5,2.309086892,25.11717063,2.360774588,25C,31,F1,UP,Predator,5,1.6097,2,0.3903,5,4,NA,0,31,NA
6,1,2.753164305,30.66252508,2.769697251,30C,5,F1,UP,Predator,5,1.7064,2.1439,0.4375,1,6,NA,0,5,NA
5,3,3.936493241,30.30192041,3.900172782,30C,18,F1,UP,Predator,6,1.6715,1.978,0.3065,3,5,NA,0,18,NA
4,5,2.455031945,30.99227567,2.57282708,30C,31,F1,UP,Predator,5,1.6097,2,0.3903,5,4,NA,0,31,NA
2,2,1.95334983,25.02050041,1.92568472,25C,8,F2,UP,Predator,3,1.7346,2.0164,0.2818,2,2,NA,0,8,NA
8,2,0.998766741,25.15388484,0.99972439,25C,14,F2,UP,Predator,3,1.719,1.8967,0.1777,2,8,NA,0,14,NA
6,5,0.828143336,25.07779679,0.85583748,25C,33,F2,UP,Predator,3,1.6466,1.8966,0.25,5,6,NA,0,33,NA
5,6,1.662010993,25.1114746,1.751499409,25C,39,F2,UP,Predator,3,1.724,2.0235,0.2995,6,5,NA,0,39,NA
6,8,0.639818257,24.95711724,0.60613515,25C,54,F2,UP,Predator,3,1.6653,1.8313,0.166,8,6,NA,0,54,NA
2,2,2.82289082,30.84068106,2.791498475,30C,8,F2,UP,Predator,3,1.7346,2.0164,0.2818,2,2,NA,0,8,NA
8,2,1.4044855,30.29680636,1.389065366,30C,14,F2,UP,Predator,3,1.719,1.8967,0.1777,2,8,NA,0,14,NA
6,5,1.285783173,30.75322987,1.267960684,30C,33,F2,UP,Predator,3,1.6466,1.8966,0.25,5,6,NA,0,33,NA
5,6,2.74216439,30.24748299,2.695839567,30C,39,F2,UP,Predator,3,1.724,2.0235,0.2995,6,5,NA,0,39,NA
6,8,0.916986417,29.40237397,0.903521772,30C,54,F2,UP,Predator,3,1.6653,1.8313,0.166,8,6,NA,0,54,NA
2,10,0.797279194,24.77750718,0.789643787,25C,42,F1,DC,Herbivore,29,1.7426,1.8904,10,2,0.1478,NA,0,0,64
3,10,3.133537499,24.75736592,3.08535964,25C,122,F1,UP,Herbivore,1,1.7401,2.1012,10,3,0.3611,NA,0,0,65
4,10,1.878125193,24.73506171,1.883774473,25C,72,F1,FN,Herbivore,54,1.5924,1.9952,10,4,0.4028,NA,0,0,66
5,10,1.164790015,24.71229205,1.157485084,25C,44,F1,DC,Herbivore,2,1.7481,1.9553,10,5,0.2072,NA,0,0,67
6,10,1.126630174,24.69023695,1.105724121,25C,45,F1,DC,Herbivore,2,1.7253,1.9732,10,6,0.2479,NA,0,0,68
6,11,1.303463117,24.6534682,1.269993285,25C,123,F1,UP,Herbivore,49,1.7042,1.9308,11,6,0.2266,NA,0,0,69
5,13,3.114092599,24.93403448,3.107160978,25C,73,F1,FN,Herbivore,20,1.6973,2.0487,13,5,0.3514,NA,0,0,70
6,13,2.098299484,24.94107747,2.081410777,25C,74,F1,FN,Herbivore,20,1.7269,1.9894,13,6,0.2625,NA,0,0,71
7,14,1.680822005,24.87275323,1.689045112,25C,124,F1,UP,Herbivore,58,1.7089,1.9423,14,7,0.2334,NA,0,0,72
2,15,0.791918543,24.95060812,0.781651225,25C,125,F1,UP,Herbivore,22,1.75,1.948,15,2,0.198,NA,0,0,73
8,15,2.035496457,24.87434992,2.019047994,25C,126,F1,UP,Herbivore,58,1.6909,2.0054,15,8,0.3145,NA,0,0,74
5,16,2.20849073,24.65116991,2.226948326,25C,75,F1,FN,Herbivore,20,1.7046,2.0759,16,5,0.3713,NA,0,0,75
2,10,1.25303606,30.29263431,1.246193542,30C,42,F1,DC,Herbivore,29,1.7426,1.8904,10,2,0.1478,NA,0,0,64
3,10,4.609443221,30.25279357,4.522174808,30C,122,F1,UP,Herbivore,1,1.7401,2.1012,10,3,0.3611,NA,0,0,65
4,10,3.654008356,30.19364496,3.685379855,30C,72,F1,FN,Herbivore,54,1.5924,1.9952,10,4,0.4028,NA,0,0,66
5,10,1.556487657,30.12121258,1.559694145,30C,44,F1,DC,Herbivore,2,1.7481,1.9553,10,5,0.2072,NA,0,0,67
6,10,1.828231644,30.04340022,1.823021372,30C,45,F1,DC,Herbivore,2,1.7253,1.9732,10,6,0.2479,NA,0,0,68
6,11,2.039230057,30.18080647,2.063526611,30C,123,F1,UP,Herbivore,49,1.7042,1.9308,11,6,0.2266,NA,0,0,69
5,13,3.614393774,29.49221472,3.63380156,30C,73,F1,FN,Herbivore,20,1.6973,2.0487,13,5,0.3514,NA,0,0,70
6,13,3.960988402,29.41601624,3.928107289,30C,74,F1,FN,Herbivore,20,1.7269,1.9894,13,6,0.2625,NA,0,0,71
7,14,2.029504354,30.28093669,2.018406484,30C,124,F1,UP,Herbivore,58,1.7089,1.9423,14,7,0.2334,NA,0,0,72
2,15,1.066964787,30.09446872,1.097589152,30C,125,F1,UP,Herbivore,22,1.75,1.948,15,2,0.198,NA,0,0,73
8,15,2.593197632,29.78168534,2.578248231,30C,126,F1,UP,Herbivore,58,1.6909,2.0054,15,8,0.3145,NA,0,0,74
5,16,2.224636599,30.0173415,2.209856785,30C,75,F1,FN,Herbivore,20,1.7046,2.0759,16,5,0.3713,NA,0,0,75
